Group,LSTM,conv,augmented,frame,accuracy
0,1,3,1,1,0.890243888
0,1,3,1,5,0.937639177
0,1,3,1,7,0.928571403
0,1,3,1,3,0.953333318
0,1,3,1,11,0.92600894
0,1,3,1,9,0.930648744
0,1,2,0,1,0.937915742
0,1,2,0,5,0.945434272
0,1,2,0,7,0.941964269
0,1,2,0,3,0.952222228
0,1,2,0,11,0.766816139
0,1,2,0,9,0.919463098
0,1,2,1,1,0.946784914
0,1,2,1,5,0.943207145
0,1,2,1,7,0.928571403
0,1,2,1,3,0.954444468
0,1,2,1,11,0.918161452
0,1,2,1,9,0.934004486
0,1,1,0,1,0.942350328
0,1,1,0,5,0.948775053
0,1,1,0,7,0.933035731
0,1,1,0,3,0.949999988
0,1,1,0,11,0.913677156
0,1,1,0,9,0.918344498
0,1,1,1,1,0.952328146
0,1,1,1,5,0.946547866
0,1,1,1,7,0.925223231
0,1,1,1,3,0.954444468
0,1,1,1,11,0.9147982
0,1,1,1,9,0.909395993
0,0,6,0,1,0.923503339
0,0,6,0,5,0.928730488
0,0,6,0,7,0.941964269
0,0,6,0,3,0.944444418
0,0,6,0,11,0.919282496
0,0,6,0,9,0.930648744
0,0,6,1,1,0.910199583
0,0,6,1,5,0.940979958
0,0,6,1,7,0.936383903
0,0,6,1,3,0.952222228
0,0,6,1,11,0.922645748
0,0,6,1,9,0.919463098
