model9NA5,511,16,9
model9NA5,5,192,18
model9NA5,3,0,144
model9NA7,511,10,14
model9NA7,13,184,17
model9NA7,8,0,139
model9NA3,528,1,8
model9NA3,14,184,18
model9NA3,6,0,141
model9NA11,526,5,2
model9NA11,31,163,18
model9NA11,17,0,130
model9NA9,516,7,11
model9NA9,20,163,30
model9NA9,4,0,143
model9A1,452,82,4
model9A1,24,188,5
model9A1,45,0,102
model9A5,520,14,2
model9A5,6,191,18
model9A5,9,0,138
model9A7,523,7,5
model9A7,16,181,17
model9A7,11,0,136
model9A3,527,4,6
model9A3,16,182,18
model9A3,8,0,139
model9A11,516,10,7
model9A11,24,172,16
model9A11,10,0,137
model9A9,528,6,0
model9A9,29,168,16
model9A9,23,0,124
model10NA1,529,3,6
model10NA1,21,178,18
model10NA1,21,0,126
model10NA5,523,13,0
model10NA5,11,187,17
model10NA5,23,0,124
model10NA7,517,12,6
model10NA7,10,187,17
model10NA7,7,0,140
model10NA3,534,3,0
model10NA3,19,179,18
model10NA3,10,0,137
model10NA11,497,7,29
model10NA11,13,178,21
model10NA11,2,0,145
model10NA9,509,8,17
model10NA9,13,180,20
model10NA9,4,0,143
model10A1,525,9,4
model10A1,52,161,4
model10A1,12,0,135
model10A5,520,14,2
model10A5,9,188,18
model10A5,10,0,137
model10A7,517,12,6
model10A7,12,185,17
model10A7,10,0,137
model10A3,528,6,3
model10A3,9,189,18
model10A3,7,0,140
model10A11,527,5,1
model10A11,25,171,16
model10A11,22,0,125
model10A9,511,12,11
model10A9,15,171,27
model10A9,7,0,140
model11NA1,532,1,5
model11NA1,27,183,7
model11NA1,12,0,135
model11NA5,523,9,4
model11NA5,11,186,18
model11NA5,4,0,143
model11NA7,513,7,15
model11NA7,14,180,20
model11NA7,4,0,143
model11NA3,527,6,4
model11NA3,12,186,18
model11NA3,5,0,142
model11NA11,508,14,11
model11NA11,27,168,17
model11NA11,8,0,139
model11NA9,498,14,22
model11NA9,10,180,23
model11NA9,4,0,143
model11A1,533,0,5
model11A1,13,186,18
model11A1,7,0,140
model11A5,525,5,6
model11A5,15,182,18
model11A5,4,0,143
model11A7,503,28,4
model11A7,10,186,18
model11A7,5,2,140
model11A3,530,4,3
model11A3,11,187,18
model11A3,5,0,142
model11A11,505,13,15
model11A11,23,172,17
model11A11,8,0,139
model11A9,530,3,1
model11A9,43,152,18
model11A9,16,0,131
model12NA1,527,4,7
model12NA1,19,180,18
model12NA1,8,0,139
model12NA5,518,13,5
model12NA5,9,188,18
model12NA5,4,0,143
model12NA7,525,6,4
model12NA7,13,184,17
model12NA7,12,0,135
model12NA3,526,4,7
model12NA3,9,189,18
model12NA3,5,0,142
model12NA11,531,2,0
model12NA11,80,132,0
model12NA11,126,0,21
model12NA9,501,20,13
model12NA9,7,178,28
model12NA9,4,0,143
model12A1,530,2,6
model12A1,13,186,18
model12A1,9,0,138
model12A5,519,15,2
model12A5,8,190,17
model12A5,9,0,138
model12A7,513,14,8
model12A7,11,180,23
model12A7,8,0,139
model12A3,537,0,0
model12A3,14,184,18
model12A3,9,0,138
model12A11,514,10,9
model12A11,26,169,17
model12A11,11,0,136
model12A9,517,11,6
model12A9,17,178,18
model12A9,7,0,140
model13NA1,528,4,6
model13NA1,12,187,18
model13NA1,30,0,117
model13NA5,521,8,7
model13NA5,6,190,19
model13NA5,4,0,143
model13NA7,498,20,17
model13NA7,6,186,22
model13NA7,5,0,142
model13NA3,532,4,1
model13NA3,17,181,18
model13NA3,10,0,137
model13NA11,517,7,9
model13NA11,26,169,17
model13NA11,6,0,141
model13NA9,510,12,12
model13NA9,11,170,32
model13NA9,7,0,140
model13A1,508,22,8
model13A1,44,155,18
model13A1,7,0,140
model13A5,518,11,7
model13A5,6,191,18
model13A5,14,0,133
model13A7,507,18,10
model13A7,11,186,17
model13A7,8,0,139
model13A3,536,0,1
model13A3,14,184,18
model13A3,9,0,138
model13A11,516,7,10
model13A11,24,169,19
model13A11,6,0,141
model13A9,517,8,9
model13A9,20,176,17
model13A9,8,0,139
model14NA1,420,114,4
model14NA1,19,189,9
model14NA1,43,4,100
model14NA5,521,13,2
model14NA5,5,192,18
model14NA5,6,0,141
model14NA7,510,15,10
model14NA7,8,189,17
model14NA7,7,0,140
model14NA3,535,2,0
model14NA3,12,186,18
model14NA3,10,0,137
model14NA11,512,7,14
model14NA11,22,172,18
model14NA11,5,0,142
model14NA9,490,14,30
model14NA9,10,176,27
model14NA9,3,0,144
model14A1,534,1,3
model14A1,104,110,3
model14A1,59,0,88
model14A5,521,10,5
model14A5,6,191,18
model14A5,5,0,142
model14A7,526,8,1
model14A7,16,181,17
model14A7,12,0,135
model14A3,531,3,3
model14A3,15,183,18
model14A3,9,0,138
model14A11,521,10,2
model14A11,23,173,16
model14A11,12,0,135
model14A9,514,11,9
model14A9,12,170,31
model14A9,7,0,140
model15NA1,524,10,4
model15NA1,27,187,3
model15NA1,23,0,124
model15NA5,526,8,2
model15NA5,15,182,18
model15NA5,9,0,138
model15NA7,520,11,4
model15NA7,31,166,17
model15NA7,12,0,135
model15NA3,533,3,1
model15NA3,10,188,18
model15NA3,8,0,139
model15NA11,507,8,18
model15NA11,37,137,38
model15NA11,5,0,142
model15NA9,523,6,5
model15NA9,15,177,21
model15NA9,14,0,133
model15A1,526,2,10
model15A1,33,166,18
model15A1,7,0,140
