ECE,Group,LSTM,conv,augmented,frame,mAP,normal_acc,mandown_acc,cross_acc
0.041789456622222235,0,1,1,0,3,0.9592735578659122,0.9875970229652441,0.931621265120152,0.9586023855123403
0.04729909242761699,0,1,1,0,5,0.9590550580464029,0.9892532077550618,0.9347197379120065,0.9531922284721405
0.06525419529017872,0,1,1,0,7,0.932130472202147,0.9904114203488568,0.9340123103948578,0.8719676858627265
0.07247550266219245,0,1,1,0,9,0.9190392775220388,0.9919140659112514,0.9120611914527122,0.8531425752021529
0.04958917063192918,0,1,2,1,1,0.940915595026048,0.966016159867119,0.9413679467570751,0.9153626784539503
0.07641236724215247,0,1,2,1,11,0.9374498727098532,0.9820211868804851,0.9286031643934549,0.9017252668556196
0.041669052644444364,0,1,2,1,3,0.9568060152294026,0.9792466101664865,0.9488280380500553,0.942343397471666
0.055684794053452086,0,1,2,1,5,0.939373673667506,0.9893144338913885,0.9435827300355552,0.8852238570755743
0.06636328925223214,0,1,2,1,7,0.9512562444663192,0.9867281794547714,0.9259890008555672,0.941051553088619
0.05889637670022371,0,1,2,1,9,0.9479898405845303,0.9885827128641231,0.9174797911402804,0.9379070177491876
0.0350458527716184,0,1,2,0,1,0.9087515922894757,0.9649142537023099,0.9189907646723632,0.8423497584937539
0.2298702764237669,0,1,2,0,11,0.8541661726006479,0.9840496011930749,0.8825526807730532,0.6958962358358156
0.03649784163333335,0,1,2,0,3,0.9517042590832165,0.9808980922805418,0.9278408411708903,0.9463738437982174
0.04720346299554567,0,1,2,0,5,0.9613944140639065,0.9930538419472164,0.9300444752582624,0.9610849249862403
0.054620877354910766,0,1,2,0,7,0.9723974204365993,0.9924465580019906,0.962972848653302,0.961772854654505
0.0715655434451902,0,1,2,0,9,0.9552739870161794,0.9910823134013542,0.9342362373457938,0.9405034103013901
0.06867310774944571,0,1,3,1,1,0.8674631750879968,0.9557621868849326,0.8574740887648528,0.7891532496142045
0.06320215432735413,0,1,3,1,11,0.9285128501681411,0.9762157621475469,0.904574492880979,0.9047482954758971
0.04322631265555558,0,1,3,1,3,0.963523435102652,0.9821358546124836,0.9452662475347525,0.96316820316072
0.05647391886414258,0,1,3,1,5,0.9197753375303241,0.9877490241785506,0.9271496743362894,0.8444273140761326
0.06809445340401785,0,1,3,1,7,0.9298879571054739,0.9841081712496056,0.9122703947549273,0.893285305311889
0.06365290194630865,0,1,3,1,9,0.9454528058968054,0.9862553843556553,0.9469297988841858,0.9031732344505752
0.02558985956762755,0,1,3,0,1,0.926338840941859,0.9535613501940506,0.9175903384084848,0.9078648342230415
0.06101390979820638,0,1,3,0,11,0.9548069341492972,0.9907744539261545,0.9310765487198106,0.9425697998019266
0.05090772085555565,0,1,3,0,3,0.9657087166734944,0.9799822689741545,0.9464144404831454,0.9707294405631833
0.04369960168151451,0,1,3,0,5,0.9529575208316702,0.9843300683603845,0.9389643262764527,0.935578167858173
0.06962800623883925,0,1,3,0,7,0.9541587701501694,0.9903536418565647,0.9160096487737636,0.9561130198201798
0.0780757881879196,0,1,3,0,9,0.9427475849526753,0.9867055907563932,0.9189641851977218,0.9225729789039109
0.15233847766075376,0,1,4,1,1,0.9014916849841311,0.9519012872509474,0.8782540819694591,0.874319685731987
0.06640671011210753,0,1,4,1,11,0.9251100944445083,0.9802404026604249,0.925732939406022,0.869356941267078
0.04949151908888899,0,1,4,1,3,0.9441843073191346,0.9770515293501041,0.922177610602013,0.9333237820052869
0.04434294501113584,0,1,4,1,5,0.95122802712982,0.9933952657645196,0.9298338970557777,0.9304549185691625
0.05438194472098216,0,1,4,1,7,0.9290809304700763,0.9766366741525906,0.9298267317650311,0.8807793854926074
0.07003807171140955,0,1,4,1,9,0.9577567047826401,0.9895944875836149,0.9312629185192698,0.9524127082450354
0.11934669362527711,0,1,4,0,1,0.9128530943014348,0.9227365276589845,0.922299824449248,0.893522930796072
0.06976090893497755,0,1,4,0,11,0.9461688278175258,0.9826692629719291,0.9269733795864435,0.9288638408942047
0.03557919472222224,0,1,4,0,3,0.9701443777004931,0.989051094357452,0.964009269654299,0.9573727690897285
0.04622606521158133,0,1,4,0,5,0.9620912896692606,0.995677697495854,0.9404225378934579,0.9501736336184702
0.060817857901785774,0,1,4,0,7,0.9567379462178263,0.9923749335873684,0.9454572505356054,0.9323816545305048
0.07952940690156597,0,1,4,0,9,0.9520723101401637,0.9901965422808493,0.9231026397737485,0.9429177483658934
0.06570819850332586,0,1,5,1,1,0.923841088658154,0.9708801775767268,0.9016716241285561,0.8989714642691788
0.07770909028026915,0,1,5,1,11,0.9496946587664445,0.9799888466651395,0.9358072748103169,0.9332878548238773
