Group,LSTM,conv,augmented,frame,accuracy,ECE
1,0,5,1,11,0.9204036,0.511102972
1,0,3,0,7,0.919642866,0.521154289
0,0,5,0,9,0.919463098,0.510772288
1,0,4,1,9,0.919463098,0.539956957
0,1,2,0,9,0.919463098,0.548632135
0,0,6,1,9,0.919463098,0.990077308
0,0,3,1,11,0.919282496,0.448984447
1,0,1,0,11,0.919282496,0.478305024
0,0,6,0,11,0.919282496,0.520915532
0,0,3,0,1,0.919068754,0.532980498
1,0,2,0,1,0.919068754,0.675436464
0,1,6,0,7,0.918526769,0.401970395
0,0,3,0,9,0.918344498,0.478514845
0,0,1,0,9,0.918344498,0.510484527
1,1,2,1,9,0.918344498,0.515013643
0,1,1,0,9,0.918344498,0.522438106
0,0,5,0,11,0.918161452,0.47057774
0,1,2,1,11,0.918161452,0.472313388
0,1,5,1,7,0.917410731,0.458934037
0,0,5,1,9,0.917225957,0.476525581
1,1,2,0,9,0.917225957,0.494397107
0,1,3,0,9,0.917225957,0.499154829
1,0,4,0,7,0.916294634,0.435451702
0,1,5,0,7,0.916294634,0.48999246
1,1,6,0,11,0.915919304,0.498356254
0,1,6,1,11,0.915919304,0.498519885
0,1,1,1,11,0.9147982,0.551263989
1,1,4,1,7,0.9140625,0.487474795
1,1,5,1,11,0.913677156,0.438769002
1,0,3,0,11,0.913677156,0.507902632
0,1,1,0,11,0.913677156,0.517724566
0,0,4,0,1,0.913525522,0.715247838
0,1,6,0,5,0.913140297,0.865499875
1,1,3,1,7,0.912946403,0.428920508
1,0,1,1,7,0.912946403,0.493908771
1,0,5,0,9,0.912751675,0.532268024
1,1,4,1,11,0.912556052,0.481892477
1,1,2,0,11,0.912556052,0.495442108
1,1,1,0,11,0.912556052,0.554085088
1,1,4,1,3,0.912222207,0.504815377
1,1,5,1,7,0.911830366,0.484793317
0,1,5,1,11,0.911434948,0.541278082
1,0,3,1,1,0.911308229,0.434805319
1,1,1,1,7,0.910714269,0.470132125
0,0,6,1,1,0.910199583,0.696773604
0,1,1,1,9,0.909395993,0.469318792
1,1,2,1,11,0.909192801,0.486280155
1,1,2,1,7,0.907366097,0.483929912
1,0,6,0,1,0.906873643,0.762349515
0,1,5,1,9,0.906040251,0.464206326
0,1,4,0,9,0.906040251,0.507067771
1,0,6,1,11,0.905829608,0.521649194
1,1,6,0,9,0.90492171,0.485404408
1,0,3,0,9,0.90492171,0.573433319
1,1,1,0,1,0.904656291,0.583251635
1,1,6,1,9,0.90380311,0.52503417
1,0,4,0,11,0.903587461,0.500041974
0,0,2,1,1,0.903547645,0.654924391
1,0,1,0,1,0.903547645,0.667620557
1,1,5,0,9,0.902684569,0.506088107
0,1,6,0,1,0.902438998,0.600567009
1,1,4,0,3,0.902222216,0.495935206
0,0,3,1,9,0.901565969,0.508513783
1,1,6,1,11,0.901345313,0.481598937
1,0,2,0,11,0.901345313,0.50979482
1,1,1,1,1,0.901330352,0.427725589
1,1,4,1,9,0.900447428,0.479568982
1,1,3,1,9,0.899328887,0.538576439
1,1,3,1,11,0.899103165,0.503505037
0,0,1,0,11,0.895739913,0.501679599
0,0,5,0,1,0.894678473,0.767902596
1,1,2,1,1,0.891352534,0.666324592
0,1,3,1,1,0.890243888,0.446191178
1,1,3,0,11,0.887892365,0.494562889
0,0,3,1,1,0.886917949,0.577434152
1,0,6,1,1,0.886917949,0.618828917
1,0,1,1,11,0.886771321,0.518441252
0,1,6,0,3,0.886666656,0.458563213
0,1,5,0,11,0.881165922,0.506633986
1,1,2,0,1,0.874722838,0.606979866
1,0,4,0,1,0.871396899,0.80742872
1,1,6,1,1,0.86807096,0.400182829
0,0,1,1,1,0.859201789,0.383407712
1,1,5,1,1,0.838137448,0.369200125
0,0,5,1,1,0.822616398,0.43743659
0,1,4,1,1,0.811529934,0.785474215
1,1,3,0,1,0.809312642,0.823841335
1,1,4,0,1,0.796008885,0.710334552
0,1,4,0,1,0.786031067,0.604726772
0,1,2,0,11,0.766816139,0.443837513
0,0,4,1,1,0.76385808,0.475130193
1,0,2,1,1,0.697339237,0.735098445
