Model,ECE,Group,LSTM,conv,augmented,frame
model22,0.5518800679776608,1,0,6,0,3
model22,0.47214079518033014,1,0,6,0,5
model22,0.5070765078307174,1,0,6,0,7
model22,0.5122618270314999,1,0,6,0,9
model23,0.4277255889370572,1,1,1,1,1
model23,0.5175070708570225,1,1,1,1,11
model23,0.4889524882715138,1,1,1,1,3
model23,0.47013212519627134,1,1,1,1,5
model23,0.5571617581245372,1,1,1,1,7
model23,0.4590854313345319,1,1,1,1,9
model23,0.5832516350295579,1,1,1,0,1
model23,0.5486471760414453,1,1,1,0,11
model23,0.5086786724043652,1,1,1,0,3
model23,0.4704429336622987,1,1,1,0,5
model23,0.4822987591119358,1,1,1,0,7
model23,0.48189247698025406,1,1,1,0,9
model24,0.6663245923965258,1,1,2,1,1
model24,0.5224381064634993,1,1,2,1,11
model24,0.4915513356189351,1,1,2,1,3
model24,0.4839299122466827,1,1,2,1,5
model24,0.48418934331678276,1,1,2,1,7
model24,0.486280154771661,1,1,2,1,9
model24,0.6069798660008464,1,1,2,0,1
model24,0.4991548294771301,1,1,2,0,11
model24,0.4974384796587783,1,1,2,0,3
model24,0.44992638605275964,1,1,2,0,5
model24,0.49891667575143994,1,1,2,0,7
model24,0.4954421081319315,1,1,2,0,9
model25,0.4323864064544667,1,1,3,1,1
model25,0.5385764385932514,1,1,3,1,11
model25,0.5588721598705262,1,1,3,1,3
model25,0.49390877103207254,1,1,3,1,5
model25,0.508703281442729,1,1,3,1,7
model25,0.5035050369882136,1,1,3,1,9
model25,0.8238413353961976,1,1,3,0,1
model25,0.581591044193514,1,1,3,0,11
model25,0.490411159170472,1,1,3,0,3
model25,0.48401233722218184,1,1,3,0,5
model25,0.5186511609700456,1,1,3,0,7
model25,0.49456288940107773,1,1,3,0,9
model26,0.5129959991733337,1,1,4,1,1
model26,0.4795689821976077,1,1,4,1,11
model26,0.5730862443996834,1,1,4,1,3
model26,0.48747479478911043,1,1,4,1,5
model26,0.5048153773542168,1,1,4,1,7
model26,0.5540850880102445,1,1,4,1,9
model26,0.7103345522230267,1,1,4,0,1
model26,0.5188987991629915,1,1,4,0,11
model26,0.5994885850469858,1,1,4,0,3
model26,0.47347110145850435,1,1,4,0,5
model26,0.4959352064815074,1,1,4,0,7
model26,0.4746861154464342,1,1,4,0,9
model27,0.36920012504963506,1,1,5,1,1
model27,0.5064670728954853,1,1,5,1,11
model27,0.5021125653389807,1,1,5,1,3
model27,0.4847933168313098,1,1,5,1,5
model27,0.49056326817357243,1,1,5,1,7
model27,0.5177245660107671,1,1,5,1,9
model27,0.5847689116112751,1,1,5,0,1
model27,0.5060881071996037,1,1,5,0,11
model27,0.4894420093909134,1,1,5,0,3
model27,0.45243132898105626,1,1,5,0,5
model27,0.5067759934409715,1,1,5,0,7
model27,0.4977594439554604,1,1,5,0,9
model28,0.4001828289830865,1,1,6,1,1
model28,0.5250341695817279,1,1,6,1,11
model28,0.539460485751091,1,1,6,1,3
model28,0.4856782530875616,1,1,6,1,5
model28,0.49136146427444805,1,1,6,1,7
model28,0.5097948196476298,1,1,6,1,9
model28,0.7223998034621791,1,1,6,0,1
model28,0.4854044083784605,1,1,6,0,11
model28,0.5350640496551452,1,1,6,0,3
model28,0.48343002610616465,1,1,6,0,5
model28,0.4947738491762652,1,1,6,0,7
model28,0.4985198852639147,1,1,6,0,9
model5,0.3834077115609728,0,0,1,1,1
model5,0.5260118202000812,0,0,1,1,11
model5,0.45671061183112377,0,0,1,1,3
model5,0.46096425617511844,0,0,1,1,5
model5,0.46512785307558563,0,0,1,1,7
model5,0.49433329049574115,0,0,1,1,9
model5,0.6614152024149231,0,0,1,0,1
model5,0.5150136434742797,0,0,1,0,11
model5,0.4745357303619407,0,0,1,0,3
model5,0.4790385817538403,0,0,1,0,5
model5,0.5086218183359089,0,0,1,0,7
model5,0.5016795988493599,0,0,1,0,9
model6,0.6676205570908411,0,0,2,1,1
model6,0.4669698022172156,0,0,2,1,11
model6,0.5091252232253068,0,0,2,1,3
model6,0.44407162045798193,0,0,2,1,5
model6,0.4796687300308629,0,0,2,1,7
model6,0.5320423186478499,0,0,2,1,9
model6,0.6303551882856493,0,0,2,0,1
model6,0.5176578328732426,0,0,2,0,11
model6,0.46896293232134534,0,0,2,0,3
model6,0.5343796387506166,0,0,2,0,5
model6,0.4912759409626313,0,0,2,0,7
model6,0.48151547269441497,0,0,2,0,9
model7,0.5774341516173243,0,0,3,1,1
model7,0.508513783316405,0,0,3,1,11
model7,0.5077200085842254,0,0,3,1,3
model7,0.4746656474671943,0,0,3,1,5
model7,0.45380783810094594,0,0,3,1,7
model7,0.5209155317234717,0,0,3,1,9
model7,0.6754364636221522,0,0,3,0,1
model7,0.5104845274783049,0,0,3,0,11
model7,0.7972040495966155,0,0,3,0,3
model7,0.4552617174960648,0,0,3,0,5
model7,0.4660065581902362,0,0,3,0,7
model7,0.48912406574706246,0,0,3,0,9
model8,0.4751301928128529,0,0,4,1,1
model8,0.5165195480511818,0,0,4,1,11
model8,0.5069069098261834,0,0,4,1,3
model8,0.4828060747191558,0,0,4,1,5
model8,0.48402664063026746,0,0,4,1,7
model8,0.4770310976135713,0,0,4,1,9
model8,0.7152478378612501,0,0,4,0,1
